timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-02-13,185.77,186.21,183.5128,185.04,183.943274042137,56529529,0.0,1.0
2025-02-14,185.32,185.53,182.44,184.15,183.058549042691,54630517,0.0,1.0
2025-02-15,183.55,184.49,181.35,183.86,182.770267863096,65434496,0.0,1.0
2025-02-16,183.42,184.85,181.665,182.31,181.229454661814,49752465,0.0,1.0
2025-02-20,181.79,182.43,180.0,181.56,180.483899887,53665553,0.0,1.0
2025-02-21,181.94,182.8888,180.66,182.32,181.239395392145,41529674,0.0,1.0
2025-02-22,183.48,184.955,182.46,184.37,183.27724510997,52292208,0.0,1.0
2025-02-23,185.01,185.04,182.23,182.52,181.438209998762,45119677,0.0,1.0
2025-02-26,182.24,182.76,180.65,181.16,180.086270673766,40867421,0.0,1.0
2025-02-27,181.1,183.9225,179.56,182.63,181.547558032401,54318851,0.0,1.0
2025-02-28,182.51,183.12,180.13,181.42,180.344729662368,48953939,0.0,1.0
2025-03-01,179.55,180.53,177.38,179.66,178.595161124137,73563082,0.0,1.0
2025-03-04,176.15,176.9,173.79,175.1,174.062188093267,81510101,0.0,1.0
2025-03-05,170.76,172.04,169.62,170.12,169.111704388502,95132355,0.0,1.0
2025-03-06,171.06,171.24,168.68,169.12,168.117631355416,68587707,0.0,1.0
2025-03-07,169.15,170.73,168.49,169.0,167.998342591446,71765061,0.0,1.0
2025-03-08,169.0,173.7,168.94,170.73,169.718088938684,76267041,0.0,1.0
2025-03-11,172.94,174.38,172.05,172.75,171.726116465517,58929918,0.0,1.0
2025-03-12,173.15,174.03,171.01,173.23,172.203271521398,59544927,0.0,1.0
2025-03-13,172.77,173.185,170.76,171.13,170.115718151918,51948951,0.0,1.0
2025-03-14,172.91,174.3078,172.05,173.0,171.974634723788,72571635,0.0,1.0
2025-03-15,171.17,172.62,170.285,172.62,171.596886971215,121752699,0.0,1.0
2025-03-18,175.57,177.71,173.52,173.72,172.69036730761,75604184,0.0,1.0
2025-03-19,174.34,176.605,173.03,176.08,175.036379665691,55215244,0.0,1.0
2025-03-20,175.72,178.67,175.09,178.67,177.611028821383,53423102,0.0,1.0
2025-03-21,177.05,177.49,170.84,171.37,170.354295679859,106181270,0.0,1.0
2025-03-22,171.76,173.05,170.06,172.28,171.258902139966,71160138,0.0,1.0
2025-03-25,170.565,171.94,169.45,170.85,169.837377702654,54288328,0.0,1.0
2025-03-26,170.0,171.42,169.58,169.71,168.704134444937,57388449,0.0,1.0
2025-03-27,170.41,173.6,170.11,173.31,172.282797364044,60273265,0.0,1.0
2025-03-28,171.75,172.23,170.51,171.48,170.463643713498,65672690,0.0,1.0
2025-04-01,171.19,171.25,169.475,170.03,169.022237815524,43772506,0.0,1.0
